workout_id,workout_date,workout_type,distance,entry_date,entry_time
361,06/08/2016,Run,13,05/12/2017,23:00:00
362,07/08/2016,Run,12,05/12/2017,23:00:00
363,07/08/2016,Swim,2,05/12/2017,23:00:00
364,08/08/2016,Swim,2,05/12/2017,23:00:00
365,09/08/2016,Gym,1,05/12/2017,23:00:00
366,10/08/2016,Swim,0.5,05/12/2017,23:00:00
367,11/08/2016,Gym,1,05/12/2017,23:00:00
368,12/08/2016,Run,10,05/12/2017,23:00:00
369,13/08/2016,Gym,1,05/12/2017,23:00:00
370,14/08/2016,Run,5,05/12/2017,23:00:00
371,18/08/2016,Run,5,05/12/2017,23:00:00
372,19/08/2016,Run,11,05/12/2017,23:00:00
373,20/08/2016,Swim,1.5,05/12/2017,23:00:00
374,21/08/2016,Run,22,05/12/2017,23:00:00
375,23/08/2016,Run,7,05/12/2017,23:00:00
376,24/08/2016,Swim,1.5,05/12/2017,23:00:00
377,26/08/2016,Run,6,05/12/2017,23:00:00
378,27/08/2016,Swim,1.5,05/12/2017,23:00:00
379,28/08/2016,Run,8,05/12/2017,23:00:00
380,29/08/2016,Gym,1,05/12/2017,23:00:00
381,02/09/2016,Run,8,05/12/2017,23:00:00
382,03/09/2016,Gym,1,05/12/2017,23:00:00
383,04/09/2016,Run,28,05/12/2017,23:00:00
384,09/09/2016,Climb,1,05/12/2017,23:00:00
385,10/09/2016,Run,25,05/12/2017,23:00:00
386,11/09/2016,Gym,1,05/12/2017,23:00:00
387,11/09/2016,Run,8,05/12/2017,23:00:00
388,16/09/2016,Gym,1,05/12/2017,23:00:00
389,16/09/2016,Run,4,05/12/2017,23:00:00
390,17/09/2016,Run,33,05/12/2017,23:00:00
391,20/09/2016,Run,5,05/12/2017,23:00:00
392,22/09/2016,Run,8,05/12/2017,23:00:00
393,26/09/2016,Run,9,05/12/2017,23:00:00
394,27/09/2016,Run,11,05/12/2017,23:00:00
395,30/09/2016,Gym,1,05/12/2017,23:00:00
396,02/10/2016,Run,21,05/12/2017,23:00:00
397,05/10/2016,Run,6,05/12/2017,23:00:00
398,07/10/2016,Swim,1.5,05/12/2017,23:00:00
399,08/10/2016,Run,21,05/12/2017,23:00:00
400,09/10/2016,Run,22,05/12/2017,23:00:00
401,10/10/2016,Run,12,05/12/2017,23:00:00
402,11/10/2016,Gym,1,05/12/2017,23:00:00
403,12/10/2016,Run,11,05/12/2017,23:00:00
404,13/10/2016,Run,6,05/12/2017,23:00:00
405,15/10/2016,Run,22,05/12/2017,23:00:00
406,19/10/2016,Run,10,05/12/2017,23:00:00
407,20/10/2016,Run,14,05/12/2017,23:00:00
408,21/10/2016,Run,7,05/12/2017,23:00:00
409,23/10/2016,Swim,1,05/12/2017,23:00:00
410,25/10/2016,Run,10,05/12/2017,23:00:00
